Team,Home_Wins,Home_Losses,Away_Wins,Away_Losses
Angels,40,41,34,47
Astros,43,38,41,40
Athletics,34,47,35,46
Blue Jays,46,35,43,38
Braves,31,50,37,43
Brewers,41,40,32,49
Cardinals,38,43,48,33
Cubs,57,24,46,34
Diamondbacks,33,48,35,45
Dodgers,53,28,38,43
Giants,45,36,42,39
Indians,53,28,41,39
Mariners,44,37,42,39
Marlins,40,40,39,42
Mets,44,37,43,38
Nationals,50,31,45,36
Orioles,50,31,39,42
Padres,39,41,29,52
Phillies,37,44,34,47
Pirates,38,42,40,41
Rangers,53,28,42,39
Rays,36,45,32,49
Red Sox,47,34,46,35
Reds,38,43,30,51
Rockies,42,39,33,48
Royals,47,34,34,47
Tigers,45,35,41,40
Twins,30,51,29,52
White Sox,45,36,33,48
Yankees,48,33,36,45
